frame,raw_state,effective_state,raw_visibility,effective_visibility,raw_part,effective_part,raw_handle_contact,effective_handle_contact,effective_constraint,effective_reason,changed
37,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
38,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
39,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
40,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
41,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
42,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
43,visible_handle,hidden_or_body,visible,hidden,handle,body,True,False,force_hidden_temporal_filter,temporal_short_visible_island,1
44,visible_handle,hidden_or_body,visible,hidden,handle,body,True,False,force_hidden_temporal_filter,temporal_short_visible_island,1
45,visible_handle,hidden_or_body,visible,hidden,handle,body,True,False,force_hidden_temporal_filter,temporal_short_visible_island,1
46,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
47,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
48,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
49,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
50,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
51,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
52,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
53,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
54,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
55,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
56,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
57,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
58,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
59,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
60,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
61,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
62,hidden_or_body,visible_handle,hidden,visible,body,handle,False,True,force_visible_temporal_filter,temporal_short_hidden_island,1
63,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
64,hidden_or_body,visible_handle,hidden,visible,body,handle,False,True,force_visible_temporal_filter,temporal_short_hidden_island,1
65,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
66,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
67,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
68,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
69,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
70,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
71,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
72,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
73,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
74,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
75,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
76,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
77,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
78,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
79,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
80,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
81,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
82,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
83,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
84,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
85,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
86,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
87,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
88,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
89,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
90,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
91,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
92,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
93,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
94,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
95,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
96,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
97,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
98,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
99,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
100,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
101,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
102,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
103,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
104,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
105,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
106,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
107,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
108,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
109,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
110,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
111,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
112,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
113,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
114,hidden_or_body,hidden_or_body,hidden,hidden,body,body,False,False,force_hidden_far_side,far_side,0
115,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
116,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
117,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
118,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
119,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
120,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
121,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
122,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
123,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
124,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
125,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
126,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
127,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
128,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
129,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
130,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
131,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
132,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
133,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
134,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
135,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
136,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
137,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
138,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
139,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
140,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
141,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
142,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
143,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
144,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
145,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
146,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
147,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
148,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
149,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
150,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
151,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
152,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
153,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
154,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
155,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
156,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
157,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
158,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
159,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
160,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
161,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
162,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
163,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
164,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
165,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
166,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
167,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
168,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
169,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
170,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
171,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
172,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
173,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
174,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
175,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
176,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
177,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
178,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
179,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
180,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
181,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
182,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
183,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
184,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
185,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
186,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
187,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
188,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
189,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
190,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
191,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
192,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
193,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
194,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
195,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
196,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
197,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
198,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
199,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
200,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
201,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
202,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
203,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
204,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
205,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
206,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
207,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
208,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
209,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
210,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
211,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
212,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
213,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
214,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
215,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
216,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
217,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
218,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
219,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
220,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
221,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
222,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
223,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
224,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
225,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
226,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
227,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
228,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
229,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
230,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
231,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
232,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
233,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
234,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
235,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
236,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
237,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
238,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
239,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
240,visible_handle,visible_handle,visible,visible,handle,handle,True,True,force_visible,none,0
