frame,time,object_contact_event,hand_mug_contact_state,nearest_articraft_part,semantic_contact_part,active_label,vlm_visibility,vlm_hand_contact_part,vlm_handle_contact,use_this_point_for_hand_attachment,use_previous_grasp_for_hand_attachment,rim_drinking_contact,frame_mode,stable_grasp_local_x,stable_grasp_local_y,stable_grasp_local_z,stable_grasp_conf,stable_grasp_source_frame,stable_grasp_object_part,stable_grasp_object_region,stable_grasp_hand_side,stable_grasp_primary_finger,stable_grasp_fingers,stable_grasp_type,vlm_keyframe_source_frame,vlm_keyframe_object_part,vlm_keyframe_object_region,vlm_keyframe_primary_finger,vlm_keyframe_contact_fingers,vlm_keyframe_grasp_type,current_candidate_local_x,current_candidate_local_y,current_candidate_local_z,hand_to_object_contact_px,hand_contact_3d_gap_m,hand_object_z_gap_m,hand_depth_alignment_needed,vlm_contact_gate,reason
15,0.583333,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.077833,-0.031045,-0.004751,27.933,0.202604,0.187966,1,,hidden/occluded/misaligned frame keeps previous stable grasp
16,0.625000,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.072000,-0.035115,-0.004751,33.446,0.199750,0.178431,1,,hidden/occluded/misaligned frame keeps previous stable grasp
17,0.666667,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.041663,-0.033913,-0.004751,36.511,0.212710,0.188974,1,,hidden/occluded/misaligned frame keeps previous stable grasp
18,0.708333,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.036177,-0.029423,-0.004751,38.251,0.193028,0.163731,1,,hidden/occluded/misaligned frame keeps previous stable grasp
19,0.750000,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,39.788,0.155355,0.113389,1,,hidden/occluded/misaligned frame keeps previous stable grasp
20,0.791667,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,41.812,0.125530,0.057667,1,,hidden/occluded/misaligned frame keeps previous stable grasp
21,0.833333,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,42.997,0.114766,-0.002311,0,,hidden/occluded/misaligned frame keeps previous stable grasp
22,0.875000,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,43.807,0.136651,-0.070674,1,,hidden/occluded/misaligned frame keeps previous stable grasp
23,0.916667,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,43.777,0.186447,-0.145365,1,,hidden/occluded/misaligned frame keeps previous stable grasp
24,0.958333,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,43.203,0.246704,-0.218305,1,,hidden/occluded/misaligned frame keeps previous stable grasp
25,1.000000,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.035289,-0.030387,-0.004366,40.586,0.303976,-0.284452,1,,hidden/occluded/misaligned frame keeps previous stable grasp
26,1.041667,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,handle_loop,handle_loop,left_hand,visible,handle,True,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.036177,-0.029423,-0.004751,36.945,0.351092,-0.337594,1,,hidden/occluded/misaligned frame keeps previous stable grasp
27,1.083333,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,0.527135,0.037322,0.015472,20.647,0.320891,0.313949,1,,hidden/occluded/misaligned frame keeps previous stable grasp
28,1.125000,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,0.327280,0.023038,-0.150167,16.613,0.099555,0.087563,0,,hidden/occluded/misaligned frame keeps previous stable grasp
29,1.166667,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,0.218702,0.031695,-0.357966,17.061,0.163528,0.154939,1,,hidden/occluded/misaligned frame keeps previous stable grasp
30,1.208333,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.057218,0.027443,-0.374740,11.494,0.126690,0.121337,1,,hidden/occluded/misaligned frame keeps previous stable grasp
31,1.250000,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.086981,-0.006756,-0.044146,6.215,0.190602,-0.189813,1,,hidden/occluded/misaligned frame keeps previous stable grasp
32,1.291667,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.314500,0.036702,-0.056096,9.059,0.131502,0.127145,1,,hidden/occluded/misaligned frame keeps previous stable grasp
33,1.333333,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.299320,0.032513,0.045678,3.840,0.157095,0.155270,1,,hidden/occluded/misaligned frame keeps previous stable grasp
34,1.375000,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.273642,0.035983,0.100668,7.761,0.184482,0.182464,1,,hidden/occluded/misaligned frame keeps previous stable grasp
35,1.416667,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.186412,0.023865,0.081457,6.724,0.114237,0.112153,0,,hidden/occluded/misaligned frame keeps previous stable grasp
36,1.458333,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.101961,0.010377,0.057836,9.232,0.044763,0.038716,0,,hidden/occluded/misaligned frame keeps previous stable grasp
37,1.500000,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.016554,0.001943,0.036170,14.117,0.062153,-0.048403,0,,hidden/occluded/misaligned frame keeps previous stable grasp
38,1.541667,occluded_hand_mug_grasp,held_during_occlusion,body_shell,body_shell,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.022524,0.001866,0.042806,18.566,0.054441,-0.022964,0,,hidden/occluded/misaligned frame keeps previous stable grasp
39,1.583333,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.063232,0.008518,0.056856,22.538,0.067887,0.038700,0,,hidden/occluded/misaligned frame keeps previous stable grasp
40,1.625000,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.086609,0.017068,0.057969,22.754,0.090188,0.071323,0,,hidden/occluded/misaligned frame keeps previous stable grasp
41,1.666667,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.120079,0.032113,0.071180,25.831,0.134619,0.119574,1,,hidden/occluded/misaligned frame keeps previous stable grasp
42,1.708333,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.122231,0.023705,0.070855,25.846,0.142011,0.129613,1,,hidden/occluded/misaligned frame keeps previous stable grasp
43,1.750000,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.163454,0.043000,0.086714,26.623,0.199030,0.189681,1,,hidden/occluded/misaligned frame keeps previous stable grasp
44,1.791667,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.128697,0.022316,0.073664,27.354,0.175304,0.165327,1,,hidden/occluded/misaligned frame keeps previous stable grasp
45,1.833333,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.103898,0.024269,0.068453,28.977,0.169083,0.155697,1,,hidden/occluded/misaligned frame keeps previous stable grasp
46,1.875000,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.130681,0.035531,0.089834,33.805,0.217448,0.204201,1,,hidden/occluded/misaligned frame keeps previous stable grasp
47,1.916667,occluded_hand_mug_grasp,held_during_occlusion,handle_loop,body_shell_or_occluded_handle_region,left_hand,hidden,body,False,0,1,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.147701,0.050635,0.092080,31.947,0.241412,0.230050,1,,hidden/occluded/misaligned frame keeps previous stable grasp
48,1.958333,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.081348,0.015395,-0.004366,5.804,0.123736,0.122505,1,,hidden/occluded/misaligned frame keeps previous stable grasp
49,2.000000,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,,,,,,,-0.078703,0.018026,-0.004366,7.476,0.124553,0.123409,1,,hidden/occluded/misaligned frame keeps previous stable grasp
50,2.041667,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,53,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,-0.075780,0.020328,-0.004366,8.948,0.125136,0.123622,1,,hidden/occluded/misaligned frame keeps previous stable grasp
51,2.083333,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,handle_loop,handle_loop,left_hand,visible,handle,True,1,0,0,keep_previous_grasp_anchor,-0.082870,-0.030760,-0.002595,0.573474,7,handle,upper_handle,left_hand,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm"", ""unknown""]",pinch_handle,53,handle,upper_handle,thumb,"[""thumb"", ""index"", ""middle"", ""ring"", ""pinky"", ""palm""]",pinch_handle,-0.072620,0.022270,-0.004366,10.096,0.124982,0.123264,1,,hidden/occluded/misaligned frame keeps previous stable grasp
