case_name,stage,frame,time,query_type,input_image_path,input_render_path,highlight_layer,question,choices,hoi_profile_source,object_part_choices,contact_relation_choices,gate_policy
volleyball,stage4,1,0.000000,overlay_alignment_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_overlay_alignment_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,62,2.541667,overlay_alignment_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_overlay_alignment_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,222,9.208333,overlay_alignment_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_overlay_alignment_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,119,4.916667,overlay_alignment_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_overlay_alignment_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,240,9.958333,overlay_alignment_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_overlay_alignment_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_overlay_alignment_check.png,render_overlay,"Does the rendered object overlay sit on top of the same visible physical object in the video? Choose aligned only if the rendered object follows the real visible object; choose lateral_shift, wrong_scale, or rotation_error if it is offset, too long/short, or at a different angle.",aligned|lateral_shift|depth_shift|wrong_scale|rotation_error|wrong_object|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,1,0.000000,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00001_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,62,2.541667,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00062_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,222,9.208333,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00222_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,119,4.916667,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00119_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
volleyball,stage4,240,9.958333,temporal_motion_check,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_temporal_motion_check.png,/tmp/audiohoi-nine/samples_known_object/13_volleyball/results/scientific_audio_ablation/visual_vlm_plus_audio/vlm/stage4/evidence/frame00240_temporal_motion_check.png,temporal_triplet_overlay,"In the three-panel neighboring-frame view, do the brown predicted stick and green tracked stick move consistently without sudden jumps, wrong-object tracking, or physically implausible motion?",consistent|jumps_unnaturally|wrong_object_tracking|physically_implausible|unclear,case_config,ball_center|ball_boundary|ball_bottom|background|unclear,left_hand|right_hand|both_hands|floor|nothing_nearby|unclear,forced_choice_gate_only_no_continuous_pose_or_loss
