frame,time,contact_u,contact_v,contact_source,contact_conf,contact_proxy_depth_m,object_ref_depth_m,contact_depth_offset_m,camera_x,camera_y,camera_z,mug_local_x,mug_local_y,mug_local_z,nearest_articraft_part,semantic_contact_part,nearest_vertex_index,nearest_vertex_dist_m_canonical,nearest_vertex_local_x,nearest_vertex_local_y,nearest_vertex_local_z,active_label,active_label_conf,active_part_u,active_part_v,handle_contact_selection,object_contact_event,hand_mug_contact_state,use_this_point_for_hand_attachment,use_previous_grasp_for_hand_attachment,rim_drinking_contact,hand_contact_u,hand_contact_v,hand_to_object_contact_px,hand_contact_3d_gap_m,hand_object_z_gap_m,hand_depth_alignment_needed,hand_contact_reason,vlm_visibility,vlm_visible_side,vlm_occlusion_reason,vlm_hand_contact_part,vlm_handle_contact,vlm_body_contact,vlm_rim_contact,vlm_constraint,vlm_confidence
11,0.416667,625.569,356.283,articraft_handle_mesh_nearest_active_hand,0.607644,3.775167,3.611024,0.164143,-0.037095,-0.009556,3.775167,-0.082204,-0.030163,-0.003628,handle_loop,handle_loop,322,0.000000,-0.082204,-0.030163,-0.003628,left_hand,0.607644,611.090,350.197,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,625.569,356.283,15.706,0.195341,0.190247,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
12,0.458333,628.278,357.699,articraft_handle_mesh_nearest_active_hand,0.596517,3.769649,3.591539,0.178110,-0.030088,-0.005906,3.769649,-0.084620,-0.027135,-0.003628,handle_loop,handle_loop,344,0.000000,-0.084620,-0.027135,-0.003628,left_hand,0.596517,611.351,350.836,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,628.278,357.699,18.265,0.202312,0.195808,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
13,0.500000,631.373,358.029,articraft_handle_mesh_nearest_active_hand,0.598383,3.767054,3.566669,0.200385,-0.022128,-0.005057,3.767054,-0.083683,-0.026470,-0.004366,handle_loop,handle_loop,345,0.000000,-0.083683,-0.026470,-0.004366,left_hand,0.598383,611.472,351.266,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,631.373,358.029,21.019,0.206168,0.197861,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
14,0.541667,635.534,356.857,articraft_handle_mesh_nearest_active_hand,0.600279,3.769657,3.559882,0.209775,-0.011463,-0.008068,3.769657,-0.081348,-0.029395,-0.004366,handle_loop,handle_loop,323,0.000000,-0.081348,-0.029395,-0.004366,left_hand,0.600279,611.595,351.374,articraft_handle_mesh_nearest_active_hand,hand_handle_grasp_depth_misaligned,visual_contact_needs_depth_alignment,1,0,0,635.534,356.857,24.559,0.206276,0.195100,1,visual/VLM handle contact is valid; GVHMR/object depth gap should be solved as an alignment residual,visible,left,none,handle,True,False,False,force_visible,0.95
15,0.583333,639.040,356.165,articraft_handle_mesh_nearest_active_hand,0.614802,3.776429,3.572111,0.204318,-0.002470,-0.009861,3.776429,-0.077833,-0.031045,-0.004751,handle_loop,handle_loop,302,0.000000,-0.077833,-0.031045,-0.004751,left_hand,0.614802,611.543,351.247,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,27.933,0.202604,0.187966,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
16,0.625000,644.627,354.325,articraft_handle_mesh_nearest_active_hand,0.596443,3.785613,3.572450,0.213163,0.011926,-0.014628,3.785613,-0.072000,-0.035115,-0.004751,handle_loop,handle_loop,258,0.000000,-0.072000,-0.035115,-0.004751,left_hand,0.596443,611.361,350.861,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,33.446,0.199750,0.178431,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
17,0.666667,647.220,352.687,articraft_handle_mesh_nearest_active_hand,0.588538,3.773144,3.593751,0.179393,0.018549,-0.018788,3.773144,-0.041663,-0.033913,-0.004751,handle_loop,handle_loop,60,0.000000,-0.041663,-0.033913,-0.004751,left_hand,0.588538,610.796,350.168,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,36.511,0.212710,0.188974,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
18,0.708333,648.265,352.366,articraft_handle_mesh_nearest_active_hand,0.594277,3.793389,3.583064,0.210325,0.021348,-0.019718,3.793389,-0.036177,-0.029423,-0.004751,handle_loop,handle_loop,16,0.000000,-0.036177,-0.029423,-0.004751,left_hand,0.594277,610.194,348.662,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,38.251,0.193028,0.163731,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
19,0.750000,648.309,348.843,articraft_handle_mesh_nearest_active_hand,0.602213,3.826747,3.617439,0.209308,0.021650,-0.029073,3.826747,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.602213,608.714,344.921,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,39.788,0.155355,0.113389,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
20,0.791667,648.960,343.733,articraft_handle_mesh_nearest_active_hand,0.610160,3.869381,3.652617,0.216764,0.023606,-0.042859,3.869381,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.610160,607.239,340.965,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,41.812,0.125530,0.057667,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
21,0.833333,648.331,337.632,articraft_handle_mesh_nearest_active_hand,0.612029,3.921031,3.752543,0.168488,0.022242,-0.059719,3.921031,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.612029,605.361,336.090,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,42.997,0.114766,-0.002311,0,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
22,0.875000,647.259,330.538,articraft_handle_mesh_nearest_active_hand,0.598182,3.979715,3.797509,0.182206,0.019672,-0.079837,3.979715,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.598182,603.453,330.445,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,43.807,0.136651,-0.070674,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
23,0.916667,644.649,323.408,articraft_handle_mesh_nearest_active_hand,0.604447,4.044033,3.992577,0.051456,0.012802,-0.100760,4.044033,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.604447,600.873,323.701,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,43.777,0.186447,-0.145365,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
24,0.958333,641.348,315.386,articraft_handle_mesh_nearest_active_hand,0.624262,4.106792,4.171454,-0.064662,0.003769,-0.124759,4.106792,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.624262,598.154,316.264,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,43.203,0.246704,-0.218305,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
25,1.000000,636.226,307.406,articraft_handle_mesh_nearest_active_hand,0.645200,4.161563,4.307513,-0.145950,-0.010694,-0.149035,4.161563,-0.035289,-0.030387,-0.004366,handle_loop,handle_loop,15,0.000000,-0.035289,-0.030387,-0.004366,left_hand,0.645200,595.655,308.523,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,40.586,0.303976,-0.284452,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
26,1.041667,629.760,299.938,articraft_handle_mesh_nearest_active_hand,0.662305,4.204859,4.222079,-0.017220,-0.029320,-0.171967,4.204859,-0.036177,-0.029423,-0.004751,handle_loop,handle_loop,16,0.000000,-0.036177,-0.029423,-0.004751,left_hand,0.662305,592.837,301.220,articraft_handle_mesh_nearest_active_hand,handle_contact_point_misaligned,confirmed_handle_but_projected_point_not_on_hand,0,1,0,,,36.945,0.351092,-0.337594,1,"VLM confirms handle contact, but projected Articraft handle point is too far from active hand; do not use this wrong point, fit handle/mug pose first",visible,left,none,handle,True,False,False,force_visible,0.95
27,1.083333,608.337,303.946,articraft_surface_contact_region_keyframe_affine,1.000000,3.543787,4.387206,-0.843420,-0.076404,-0.135260,3.543787,0.527135,0.037322,0.015472,body_shell,body_shell,192,0.487394,0.040000,0.041000,0.000000,left_hand,0.695832,590.328,293.847,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,20.647,0.320891,0.313949,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
28,1.125000,602.378,292.976,articraft_surface_contact_region_keyframe_affine,1.000000,3.760274,4.486279,-0.726005,-0.096329,-0.171611,3.760274,0.327280,0.023038,-0.150167,body_shell,body_shell,220,0.320607,0.035875,0.041000,-0.017692,left_hand,0.749188,587.454,285.677,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,16.613,0.099555,0.087563,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
29,1.166667,599.303,285.173,articraft_surface_contact_region_keyframe_affine,1.000000,3.681052,4.537605,-0.856554,-0.102007,-0.187554,3.681052,0.218702,0.031695,-0.357966,body_shell,body_shell,256,0.379616,0.020000,0.041000,-0.034641,left_hand,0.783602,584.247,277.149,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,17.061,0.163528,0.154939,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
30,1.208333,592.611,272.940,articraft_surface_contact_region_keyframe_affine,1.000000,3.704710,4.472281,-0.767571,-0.119544,-0.219618,3.704710,-0.057218,0.027443,-0.374740,body_shell,body_shell,296,0.339364,-0.005221,0.041000,-0.039658,left_hand,0.875776,581.765,269.135,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,11.494,0.126690,0.121337,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
31,1.250000,585.061,259.035,articraft_surface_contact_region_keyframe_affine,1.000000,4.009273,4.179788,-0.170515,-0.149983,-0.275633,4.009273,-0.086981,-0.006756,-0.044146,handle_loop,body_shell_or_occluded_handle_region,479,0.039424,-0.087122,-0.005257,-0.004751,left_hand,0.924760,578.884,259.720,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,6.215,0.190602,-0.189813,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
32,1.291667,581.783,257.229,articraft_surface_contact_region_keyframe_affine,1.000000,3.685336,4.048166,-0.362830,-0.146091,-0.257895,3.685336,-0.314500,0.036702,-0.056096,handle_loop,body_shell_or_occluded_handle_region,496,0.232251,-0.091950,-0.000917,-0.001352,left_hand,0.985839,575.702,250.514,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,9.059,0.131502,0.127145,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
33,1.333333,574.432,245.304,articraft_surface_contact_region_keyframe_affine,1.000000,3.653863,3.837366,-0.183503,-0.163132,-0.285362,3.653863,-0.299320,0.032513,0.045678,handle_loop,body_shell_or_occluded_handle_region,494,0.214674,-0.091950,-0.000917,0.001352,left_hand,0.896823,572.991,241.745,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,3.840,0.157095,0.155270,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
34,1.375000,564.307,237.076,articraft_surface_contact_region_keyframe_affine,1.000000,3.623467,3.719722,-0.096255,-0.186756,-0.303289,3.623467,-0.273642,0.035983,0.100668,handle_loop,body_shell_or_occluded_handle_region,493,0.210245,-0.091390,-0.001011,0.002595,left_hand,0.821131,570.834,232.877,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,7.761,0.184482,0.182464,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
35,1.416667,563.270,227.559,articraft_surface_contact_region_keyframe_affine,1.000000,3.689785,3.703256,-0.013471,-0.192780,-0.332750,3.689785,-0.186412,0.023865,0.081457,handle_loop,body_shell_or_occluded_handle_region,515,0.125924,-0.090506,0.002896,0.002595,left_hand,0.744416,568.803,223.739,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,6.724,0.114237,0.112153,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
36,1.458333,557.487,216.931,articraft_surface_contact_region_keyframe_affine,1.000000,3.760232,3.733463,0.026769,-0.211267,-0.366315,3.760232,-0.101961,0.010377,0.057836,handle_loop,body_shell_or_occluded_handle_region,535,0.055624,-0.087302,0.005896,0.004366,left_hand,0.675387,566.669,215.967,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,9.232,0.044763,0.038716,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
37,1.500000,549.871,210.538,articraft_surface_contact_region_keyframe_affine,1.000000,3.843878,3.789141,0.054736,-0.235901,-0.391197,3.843878,-0.016554,0.001943,0.036170,body_shell,body_shell,68,0.039075,-0.017692,0.041000,0.035875,left_hand,0.627095,563.803,208.260,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,14.117,0.062153,-0.048403,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
38,1.541667,541.803,202.290,articraft_surface_contact_region_keyframe_affine,1.000000,3.819695,3.797987,0.021707,-0.255401,-0.410188,3.819695,-0.022524,0.001866,0.042806,body_shell,body_shell,68,0.040035,-0.017692,0.041000,0.035875,left_hand,0.692066,560.285,200.523,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,18.566,0.054441,-0.022964,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
39,1.583333,534.599,193.440,articraft_surface_contact_region_keyframe_affine,1.000000,3.757641,3.780760,-0.023119,-0.269684,-0.426168,3.757641,-0.063232,0.008518,0.056856,handle_loop,body_shell_or_occluded_handle_region,687,0.053895,-0.068282,0.021334,0.004751,left_hand,0.743202,557.129,192.853,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,22.538,0.067887,0.038700,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
40,1.625000,531.135,187.577,articraft_surface_contact_region_keyframe_affine,1.000000,3.724838,3.754753,-0.029915,-0.276115,-0.437318,3.724838,-0.086609,0.017068,0.057969,handle_loop,body_shell_or_occluded_handle_region,578,0.053636,-0.082613,0.011712,0.004751,left_hand,0.773232,553.753,185.090,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,22.754,0.090188,0.071323,0,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
41,1.666667,524.923,182.855,articraft_surface_contact_region_keyframe_affine,1.000000,3.677511,3.723784,-0.046272,-0.288163,-0.443586,3.677511,-0.120079,0.032113,0.071180,handle_loop,body_shell_or_occluded_handle_region,557,0.078540,-0.085676,0.009290,0.004366,left_hand,0.827515,550.430,178.778,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,25.831,0.134619,0.119574,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
42,1.708333,521.107,171.688,articraft_surface_contact_region_keyframe_affine,1.000000,3.666098,3.698568,-0.032470,-0.296794,-0.470086,3.666098,-0.122231,0.023705,0.070855,handle_loop,body_shell_or_occluded_handle_region,535,0.077188,-0.087302,0.005896,0.004366,left_hand,0.859073,546.936,172.619,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,25.846,0.142011,0.129613,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
43,1.750000,516.848,166.507,articraft_surface_contact_region_keyframe_affine,1.000000,3.606153,3.651889,-0.045735,-0.302399,-0.475121,3.606153,-0.163454,0.043000,0.086714,handle_loop,body_shell_or_occluded_handle_region,536,0.117839,-0.088365,0.006334,0.003628,left_hand,0.891864,543.423,164.908,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,26.623,0.199030,0.189681,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,temporal_short_visible_island,body,False,True,False,force_hidden_temporal_filter,0.95
44,1.791667,512.231,156.139,articraft_surface_contact_region_keyframe_affine,1.000000,3.633350,3.643668,-0.010318,-0.316102,-0.504355,3.633350,-0.128697,0.022316,0.073664,handle_loop,body_shell_or_occluded_handle_region,535,0.082373,-0.087302,0.005896,0.004366,left_hand,0.915083,539.456,158.797,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,27.354,0.175304,0.165327,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,temporal_short_visible_island,body,False,True,False,force_hidden_temporal_filter,0.95
45,1.833333,507.747,154.579,articraft_surface_contact_region_keyframe_affine,1.000000,3.644478,3.645236,-0.000758,-0.328198,-0.509771,3.644478,-0.103898,0.024269,0.068453,handle_loop,body_shell_or_occluded_handle_region,579,0.068227,-0.083683,0.012470,0.004366,left_hand,0.962454,536.691,153.206,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,28.977,0.169083,0.155697,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,temporal_short_visible_island,body,False,True,False,force_hidden_temporal_filter,0.95
46,1.875000,499.831,149.228,articraft_surface_contact_region_keyframe_affine,1.000000,3.598542,3.628996,-0.030454,-0.343458,-0.516457,3.598542,-0.130681,0.035531,0.089834,handle_loop,body_shell_or_occluded_handle_region,557,0.100094,-0.085676,0.009290,0.004366,left_hand,0.986355,533.630,148.593,,occluded_hand_mug_grasp,held_during_occlusion,0,1,0,,,33.805,0.217448,0.204201,1,"VLM marks contact/handle region hidden; current visible point is not a direct hand-handle observation, keep prior grasp anchor",hidden,unknown,far_side,body,False,True,False,force_hidden_far_side,0.95
