frame,time,phase,contact_start_frame,lift_frame,place_frame,static_start_frame,audio_event,audio_score,source
144,5.958333,carry,20,20,145,145,,,audio_place_frame_no_object_motion_gate
145,6.000000,static,20,20,145,145,audio event 7,1.000000,audio_place_frame_no_object_motion_gate
146,6.041667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
147,6.083333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
148,6.125000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
149,6.166667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
150,6.208333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
151,6.250000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
152,6.291667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
153,6.333333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
154,6.375000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
155,6.416667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
156,6.458333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
157,6.500000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
158,6.541667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
159,6.583333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
160,6.625000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
161,6.666667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
162,6.708333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
163,6.750000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
164,6.791667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
165,6.833333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
166,6.875000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
167,6.916667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
168,6.958333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
169,7.000000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
170,7.041667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
171,7.083333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
172,7.125000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
173,7.166667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
174,7.208333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
175,7.250000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
176,7.291667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
177,7.333333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
178,7.375000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
179,7.416667,static,20,20,145,145,audio event 8,0.497553,audio_place_frame_no_object_motion_gate
180,7.458333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
181,7.500000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
182,7.541667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
183,7.583333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
184,7.625000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
185,7.666667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
186,7.708333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
187,7.750000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
188,7.791667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
189,7.833333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
190,7.875000,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
191,7.916667,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
192,7.958333,static,20,20,145,145,,,audio_place_frame_no_object_motion_gate
