frame,time,human_contact_state,floor_contact_state,contact_label,phase
130,5.375,1,0,right_hand,continuous_grasp
131,5.416667,1,0,right_hand,continuous_grasp
132,5.458333,1,0,right_hand,continuous_grasp
133,5.5,1,0,right_hand,continuous_grasp
134,5.541667,1,0,right_hand,continuous_grasp
135,5.583333,1,0,right_hand,continuous_grasp
136,5.625,1,0,right_hand,continuous_grasp
137,5.666667,1,0,right_hand,continuous_grasp
138,5.708333,1,0,right_hand,continuous_grasp
139,5.75,1,0,right_hand,continuous_grasp
140,5.791667,1,0,right_hand,continuous_grasp
141,5.833333,1,0,right_hand,continuous_grasp
142,5.875,1,0,right_hand,continuous_grasp
143,5.916667,1,0,right_hand,continuous_grasp
144,5.958333,1,0,right_hand,continuous_grasp
145,6.0,1,0,right_hand,continuous_grasp
146,6.041667,1,0,right_hand,continuous_grasp
147,6.083333,1,0,right_hand,continuous_grasp
148,6.125,1,0,right_hand,continuous_grasp
149,6.166667,1,0,right_hand,continuous_grasp
150,6.208333,1,0,right_hand,continuous_grasp
151,6.25,1,0,right_hand,continuous_grasp
152,6.291667,1,0,right_hand,continuous_grasp
153,6.333333,1,0,right_hand,continuous_grasp
154,6.375,1,0,right_hand,continuous_grasp
155,6.416667,1,0,right_hand,continuous_grasp
156,6.458333,1,0,right_hand,continuous_grasp
157,6.5,1,0,right_hand,continuous_grasp
158,6.541667,1,0,right_hand,continuous_grasp
159,6.583333,1,0,right_hand,continuous_grasp
160,6.625,1,0,right_hand,continuous_grasp
161,6.666667,1,0,right_hand,continuous_grasp
162,6.708333,1,0,right_hand,continuous_grasp
163,6.75,1,0,right_hand,continuous_grasp
164,6.791667,1,0,right_hand,continuous_grasp
165,6.833333,1,0,right_hand,continuous_grasp
166,6.875,1,0,right_hand,continuous_grasp
167,6.916667,1,0,right_hand,continuous_grasp
168,6.958333,1,0,right_hand,continuous_grasp
169,7.0,1,0,right_hand,continuous_grasp
170,7.041667,1,0,right_hand,continuous_grasp
171,7.083333,1,0,right_hand,continuous_grasp
172,7.125,1,0,right_hand,continuous_grasp
173,7.166667,1,0,right_hand,continuous_grasp
174,7.208333,1,0,right_hand,continuous_grasp
175,7.25,1,0,right_hand,continuous_grasp
176,7.291667,1,0,right_hand,continuous_grasp
177,7.333333,1,0,right_hand,continuous_grasp
178,7.375,1,0,right_hand,continuous_grasp
179,7.416667,1,0,right_hand,continuous_grasp
180,7.458333,1,0,right_hand,continuous_grasp
181,7.5,1,0,right_hand,continuous_grasp
182,7.541667,1,0,right_hand,continuous_grasp
183,7.583333,1,0,right_hand,continuous_grasp
184,7.625,1,0,right_hand,continuous_grasp
185,7.666667,1,0,right_hand,continuous_grasp
186,7.708333,1,0,right_hand,continuous_grasp
187,7.75,1,0,right_hand,continuous_grasp
188,7.791667,1,0,right_hand,continuous_grasp
189,7.833333,1,0,right_hand,continuous_grasp
190,7.875,1,0,right_hand,continuous_grasp
191,7.916667,1,0,right_hand,continuous_grasp
192,7.958333,1,0,right_hand,continuous_grasp
193,8.0,1,0,right_hand,continuous_grasp
194,8.041667,1,0,right_hand,continuous_grasp
195,8.083333,1,0,right_hand,continuous_grasp
196,8.125,1,0,right_hand,continuous_grasp
197,8.166667,1,0,right_hand,continuous_grasp
198,8.208333,1,0,right_hand,continuous_grasp
199,8.25,1,0,right_hand,continuous_grasp
200,8.291667,1,0,right_hand,continuous_grasp
201,8.333333,1,0,right_hand,continuous_grasp
202,8.375,1,0,right_hand,continuous_grasp
203,8.416667,1,0,right_hand,continuous_grasp
204,8.458333,1,0,right_hand,continuous_grasp
205,8.5,1,0,right_hand,continuous_grasp
206,8.541667,1,0,right_hand,continuous_grasp
207,8.583333,1,0,right_hand,continuous_grasp
208,8.625,1,0,right_hand,continuous_grasp
209,8.666667,1,0,right_hand,continuous_grasp
210,8.708333,1,0,right_hand,continuous_grasp
211,8.75,1,0,right_hand,continuous_grasp
212,8.791667,1,0,right_hand,continuous_grasp
213,8.833333,1,0,right_hand,continuous_grasp
214,8.875,1,0,right_hand,continuous_grasp
215,8.916667,1,0,right_hand,continuous_grasp
216,8.958333,1,0,right_hand,continuous_grasp
217,9.0,1,0,right_hand,continuous_grasp
218,9.041667,1,0,right_hand,continuous_grasp
219,9.083333,1,0,right_hand,continuous_grasp
220,9.125,1,0,right_hand,continuous_grasp
221,9.166667,1,0,right_hand,continuous_grasp
222,9.208333,1,0,right_hand,continuous_grasp
223,9.25,1,0,right_hand,continuous_grasp
224,9.291667,1,0,right_hand,continuous_grasp
225,9.333333,1,0,right_hand,continuous_grasp
226,9.375,1,0,right_hand,continuous_grasp
227,9.416667,1,0,right_hand,continuous_grasp
228,9.458333,1,0,right_hand,continuous_grasp
229,9.5,1,0,right_hand,continuous_grasp
230,9.541667,1,0,right_hand,continuous_grasp
231,9.583333,1,0,right_hand,continuous_grasp
232,9.625,1,0,right_hand,continuous_grasp
233,9.666667,1,0,right_hand,continuous_grasp
234,9.708333,1,0,right_hand,continuous_grasp
235,9.75,1,0,right_hand,continuous_grasp
236,9.791667,1,0,right_hand,continuous_grasp
237,9.833333,1,0,right_hand,continuous_grasp
238,9.875,1,0,right_hand,continuous_grasp
239,9.916667,1,0,right_hand,continuous_grasp
240,9.958333,1,0,right_hand,continuous_grasp
