frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id,grasp_correction_m,grasp_audio_weight,grasp_active
22,0.875,generic_sequence_executor,-0.15621178940501723,-0.289889995,0.903583912,4.386669284,0.679445089,0.729920455,0.055231712,-0.050199192,generic-solve-93755e7aab23,0.146646487,0.411112,1
23,0.916667,generic_sequence_executor,-0.1909255203839102,-0.294169229,0.903091485,4.390477558,0.679385574,0.729792211,0.056530993,-0.051408345,generic-solve-93755e7aab23,0.141731196,0.249352,1
24,0.958333,generic_sequence_executor,-0.15621178940501723,-0.301075277,0.902901396,4.392493479,0.679001646,0.729031406,0.063855280,-0.058244972,generic-solve-93755e7aab23,0.137337785,0.135335,1
25,1.0,generic_sequence_executor,-0.15621178940501723,-0.311429702,0.903312300,4.393339631,0.677688720,0.726722575,0.082690469,-0.075990683,generic-solve-93755e7aab23,0.134801756,0.000000,1
26,1.041667,generic_sequence_executor,-0.15621178940501723,-0.323297794,0.904413596,4.395391264,0.674707573,0.721726129,0.113402401,-0.104980861,generic-solve-93755e7aab23,0.134969220,0.135335,1
27,1.083333,generic_sequence_executor,-0.22563925136280272,-0.333937451,0.906222267,4.398801264,0.670130904,0.713368381,0.150499788,-0.139211843,generic-solve-93755e7aab23,0.137716581,0.249352,1
28,1.125,generic_sequence_executor,-0.1909255203839102,-0.340170053,0.908812376,4.402034218,0.665346565,0.703000845,0.185296844,-0.169613799,generic-solve-93755e7aab23,0.142338098,0.411112,1
29,1.166667,generic_sequence_executor,-0.26035298234169524,-0.340157239,0.912298668,4.403824508,0.662084910,0.694514589,0.208900276,-0.188821959,generic-solve-93755e7aab23,0.147886742,0.606531,1
30,1.208333,generic_sequence_executor,-0.3644941752783737,-0.336222286,0.916713361,4.403658502,0.660804067,0.690612044,0.218747696,-0.196322274,generic-solve-93755e7aab23,0.153572909,0.800737,1
31,1.25,generic_sequence_executor,-0.46863536821505214,-0.331788042,0.921726136,4.402470411,0.660555914,0.689903308,0.220542534,-0.197636792,generic-solve-93755e7aab23,0.158917963,0.945959,1
32,1.291667,generic_sequence_executor,-0.5727765611517301,-0.327616506,0.926564969,4.400670235,0.660573279,0.689912468,0.220507496,-0.197585864,generic-solve-93755e7aab23,0.163925250,1.000000,1
33,1.333333,generic_sequence_executor,-0.6769177540884082,-0.324863426,0.929578042,4.390788324,0.662853136,0.686882820,0.223086655,-0.197610869,generic-solve-93755e7aab23,0.168945050,1.000000,1
34,1.375,generic_sequence_executor,-0.7810589470250866,-0.332010491,0.928549165,4.357916817,0.673193219,0.671946623,0.236337092,-0.198603639,generic-solve-93755e7aab23,0.174898420,1.000000,1
35,1.416667,generic_sequence_executor,-0.885200139961765,-0.359470430,0.921782005,4.305243448,0.693091729,0.638373180,0.266710048,-0.202408715,generic-solve-93755e7aab23,0.183624724,1.000000,1
36,1.458333,generic_sequence_executor,-0.9199138709406576,-0.403185160,0.909547521,4.261452030,0.712593531,0.593531707,0.309094156,-0.210692611,generic-solve-93755e7aab23,0.196505749,1.000000,1
37,1.5,generic_sequence_executor,-0.9199138709406576,-0.447121505,0.897074208,4.257194026,0.720123772,0.554366975,0.351877325,-0.224235053,generic-solve-93755e7aab23,0.212347912,1.000000,1
38,1.541667,generic_sequence_executor,-0.9199138709406576,-0.479805545,0.888482724,4.302037749,0.713810828,0.530739220,0.387576856,-0.242020997,generic-solve-93755e7aab23,0.220000000,1.000000,1
39,1.583333,generic_sequence_executor,-0.9199138709406576,-0.498340271,0.882382721,4.334706369,0.700238264,0.519564953,0.414625008,-0.260393426,generic-solve-93755e7aab23,0.220000000,1.000000,1
40,1.625,generic_sequence_executor,-0.9199138709406576,-0.506478168,0.875944089,4.314367621,0.686592370,0.514117829,0.433788804,-0.275864186,generic-solve-93755e7aab23,0.220000000,1.000000,1
41,1.666667,generic_sequence_executor,-0.9199138709406576,-0.509831563,0.872860119,4.303484482,0.676081485,0.511426935,0.445877350,-0.287314644,generic-solve-93755e7aab23,0.220000000,1.000000,1
42,1.708333,generic_sequence_executor,-0.9199138709406576,-0.514197275,0.870209504,4.318795977,0.670985134,0.508534100,0.452888288,-0.293367035,generic-solve-93755e7aab23,0.214839128,0.945959,1
43,1.75,generic_sequence_executor,-0.9199138709406576,-0.523482518,0.861011844,4.306083037,0.673074674,0.502079792,0.457378590,-0.292730579,generic-solve-93755e7aab23,0.204967511,0.945959,1
44,1.791667,generic_sequence_executor,-0.885200139961765,-0.535864873,0.850062675,4.277587825,0.680011616,0.493347968,0.459982418,-0.287416353,generic-solve-93755e7aab23,0.196329852,1.000000,1
45,1.833333,generic_sequence_executor,-0.885200139961765,-0.546570815,0.843312599,4.270347111,0.687487364,0.486165405,0.460420752,-0.281099724,generic-solve-93755e7aab23,0.189694553,1.000000,1
46,1.875,generic_sequence_executor,-0.885200139961765,-0.553439209,0.839594573,4.274718807,0.693022448,0.482332543,0.459176005,-0.276102520,generic-solve-93755e7aab23,0.184041201,0.945959,1
47,1.916667,generic_sequence_executor,-0.885200139961765,-0.557143468,0.837014807,4.278016799,0.695961124,0.481647980,0.457140859,-0.273268316,generic-solve-93755e7aab23,0.177996825,0.800737,1
48,1.958333,generic_sequence_executor,-0.885200139961765,-0.559492247,0.835123017,4.279536527,0.696489749,0.483246627,0.455019309,-0.272639239,generic-solve-93755e7aab23,0.171098009,0.606531,1
49,2.0,generic_sequence_executor,-0.885200139961765,-0.562544418,0.833621190,4.280336520,0.695107617,0.486303159,0.453127614,-0.273879543,generic-solve-93755e7aab23,0.163919369,0.411112,1
50,2.041667,generic_sequence_executor,-0.885200139961765,-0.566004114,0.832374286,4.280552944,0.692362405,0.490221716,0.451542323,-0.276453432,generic-solve-93755e7aab23,0.157503946,0.249352,1
51,2.083333,generic_sequence_executor,-0.9199138709406576,-0.567605012,0.831450821,4.278303186,0.688799318,0.494575646,0.450220692,-0.279735158,generic-solve-93755e7aab23,0.152888873,0.135335,1
52,2.125,generic_sequence_executor,-0.9199138709406576,-0.567280604,0.830808232,4.273401060,0.684968589,0.499050737,0.448976496,-0.283172210,generic-solve-93755e7aab23,0.150936183,0.000000,1
53,2.166667,generic_sequence_executor,-0.9199138709406576,-0.566695524,0.830191288,4.267344622,0.681542987,0.503145027,0.447732594,-0.286146402,generic-solve-93755e7aab23,0.152215226,0.000000,1
54,2.208333,generic_sequence_executor,-0.9199138709406576,-0.566197287,0.829535948,4.258508686,0.679297567,0.506111854,0.446657881,-0.287927671,generic-solve-93755e7aab23,0.156618177,0.135335,1
55,2.25,generic_sequence_executor,-0.885200139961765,-0.566083734,0.828885586,4.245036589,0.678702316,0.507535692,0.445799684,-0.288155043,generic-solve-93755e7aab23,0.163435489,0.249352,1
56,2.291667,generic_sequence_executor,-0.885200139961765,-0.567748791,0.828013361,4.229673762,0.679687800,0.507565804,0.444973542,-0.287053996,generic-solve-93755e7aab23,0.171699797,0.411112,1
57,2.333333,generic_sequence_executor,-0.9199138709406576,-0.571434277,0.826669681,4.215734776,0.681956014,0.506358932,0.444223103,-0.284960457,generic-solve-93755e7aab23,0.180476737,0.606531,1
58,2.375,generic_sequence_executor,-0.9199138709406576,-0.576517791,0.824795538,4.203849225,0.685242952,0.503796605,0.443945115,-0.282035126,generic-solve-93755e7aab23,0.189050418,0.800737,1
59,2.416667,generic_sequence_executor,-0.9199138709406576,-0.582537569,0.822612333,4.191228393,0.689268932,0.499805098,0.444498378,-0.278432029,generic-solve-93755e7aab23,0.197268088,0.945959,1
60,2.458333,generic_sequence_executor,-0.9199138709406576,-0.587621537,0.820530573,4.174039548,0.693701513,0.494600788,0.445939326,-0.274383652,generic-solve-93755e7aab23,0.205548461,1.000000,1
61,2.5,generic_sequence_executor,-0.885200139961765,-0.590892020,0.818513387,4.154244376,0.698254227,0.488644049,0.447987432,-0.270139387,generic-solve-93755e7aab23,0.214831799,1.000000,1
62,2.541667,generic_sequence_executor,-0.885200139961765,-0.594261766,0.816301058,4.142963298,0.702863020,0.482367416,0.450157426,-0.265826149,generic-solve-93755e7aab23,0.220000000,0.945959,1
63,2.583333,generic_sequence_executor,-0.9199138709406576,-0.597794705,0.814033741,4.141375869,0.707652598,0.475979028,0.452043973,-0.261396274,generic-solve-93755e7aab23,0.220000000,0.945959,1
64,2.625,generic_sequence_executor,-0.885200139961765,-0.600452052,0.811785879,4.140189187,0.712628783,0.469514602,0.453618568,-0.256800411,generic-solve-93755e7aab23,0.220000000,1.000000,1
65,2.666667,generic_sequence_executor,-0.8504864089828721,-0.603168482,0.809427596,4.136784701,0.717494684,0.462962102,0.455284247,-0.252158135,generic-solve-93755e7aab23,0.220000000,1.000000,1
66,2.708333,generic_sequence_executor,-0.8504864089828721,-0.606583119,0.806601695,4.132190090,0.721707718,0.456510949,0.457503188,-0.247843813,generic-solve-93755e7aab23,0.220000000,1.000000,1
67,2.75,generic_sequence_executor,-0.8504864089828721,-0.610108797,0.802981937,4.129108017,0.724729675,0.450617493,0.460406838,-0.244410140,generic-solve-93755e7aab23,0.220000000,1.000000,1
68,2.791667,generic_sequence_executor,-0.8504864089828721,-0.614714274,0.798752357,4.128247003,0.726309585,0.445663859,0.463840288,-0.242302083,generic-solve-93755e7aab23,0.220000000,1.000000,1
69,2.833333,generic_sequence_executor,-0.8504864089828721,-0.620642198,0.794447013,4.127896052,0.726467625,0.441714826,0.467702671,-0.241634049,generic-solve-93755e7aab23,0.220000000,1.000000,1
70,2.875,generic_sequence_executor,-0.8504864089828721,-0.625446654,0.790442217,4.127181438,0.725278223,0.438691961,0.472030061,-0.242298337,generic-solve-93755e7aab23,0.220000000,1.000000,1
71,2.916667,generic_sequence_executor,-0.8504864089828721,-0.628033668,0.786921186,4.127691958,0.722775631,0.436729300,0.476660750,-0.244248715,generic-solve-93755e7aab23,0.220000000,1.000000,1
72,2.958333,generic_sequence_executor,-0.8504864089828721,-0.628658744,0.784266398,4.129035796,0.719045964,0.436232067,0.481064907,-0.247489476,generic-solve-93755e7aab23,0.220000000,1.000000,1
73,3.0,generic_sequence_executor,-0.8504864089828721,-0.623990592,0.785695231,4.148976498,0.714370625,0.437660839,0.484460935,-0.251843609,generic-solve-93755e7aab23,0.199301877,1.000000,1
74,3.041667,generic_sequence_executor,-0.885200139961765,-0.614142485,0.789055759,4.170150844,0.709388169,0.441244417,0.485944689,-0.256767501,generic-solve-93755e7aab23,0.176518416,1.000000,1
75,3.083333,generic_sequence_executor,-0.9199138709406576,-0.600148049,0.793172450,4.190788057,0.705302892,0.446510333,0.484752605,-0.261134571,generic-solve-93755e7aab23,0.156098177,1.000000,1
76,3.125,generic_sequence_executor,-0.9199138709406576,-0.584610008,0.797159923,4.208599880,0.703795100,0.452127807,0.480532108,-0.263328303,generic-solve-93755e7aab23,0.140030030,1.000000,1
77,3.166667,generic_sequence_executor,-0.9199138709406576,-0.571462209,0.800403288,4.219188157,0.706347265,0.456531525,0.473344935,-0.261910442,generic-solve-93755e7aab23,0.129579515,1.000000,1
78,3.208333,generic_sequence_executor,-0.9199138709406576,-0.563335891,0.802922804,4.218218693,0.713135657,0.459112916,0.463491629,-0.256570409,generic-solve-93755e7aab23,0.124939542,1.000000,1
79,3.25,generic_sequence_executor,-0.885200139961765,-0.557296070,0.804653056,4.209719092,0.722383244,0.461045144,0.451406686,-0.248660064,generic-solve-93755e7aab23,0.125394566,1.000000,1
80,3.291667,generic_sequence_executor,-0.885200139961765,-0.547846327,0.805509955,4.203105235,0.731454915,0.464232222,0.437823727,-0.240359181,generic-solve-93755e7aab23,0.129714443,1.000000,1
81,3.333333,generic_sequence_executor,-0.885200139961765,-0.534345717,0.806253535,4.199546513,0.738629099,0.469428364,0.423881602,-0.233213320,generic-solve-93755e7aab23,0.136058216,1.000000,1
82,3.375,generic_sequence_executor,-0.8504864089828721,-0.519261227,0.807662241,4.193450797,0.743468286,0.476054269,0.410817163,-0.227720219,generic-solve-93755e7aab23,0.143196488,1.000000,1
83,3.416667,generic_sequence_executor,-0.8504864089828721,-0.503354241,0.809420048,4.181226237,0.746256991,0.483186542,0.399469307,-0.223730959,generic-solve-93755e7aab23,0.150845435,1.000000,1
84,3.458333,generic_sequence_executor,-0.8504864089828721,-0.486550715,0.810159496,4.165789612,0.747606441,0.490143211,0.389973657,-0.220827510,generic-solve-93755e7aab23,0.160387519,1.000000,1
85,3.5,generic_sequence_executor,-0.8504864089828721,-0.472576462,0.812193618,4.155887868,0.748421371,0.496222600,0.382000044,-0.218413710,generic-solve-93755e7aab23,0.173743690,1.000000,1
86,3.541667,generic_sequence_executor,-0.8157726780039791,-0.466955040,0.819505214,4.151747277,0.749820173,0.500372096,0.375335453,-0.215686745,generic-solve-93755e7aab23,0.191090033,1.000000,1
87,3.583333,generic_sequence_executor,-0.8157726780039791,-0.465622661,0.821822795,4.144748605,0.752548626,0.501811717,0.370010471,-0.212009003,generic-solve-93755e7aab23,0.210137282,1.000000,1
88,3.625,generic_sequence_executor,-0.8504864089828721,-0.462587992,0.808814484,4.143002323,0.757005809,0.500135630,0.365880609,-0.207214710,generic-solve-93755e7aab23,0.220000000,1.000000,1
89,3.666667,generic_sequence_executor,-0.885200139961765,-0.463647071,0.793293081,4.140817199,0.763655418,0.494666848,0.362697116,-0.201459459,generic-solve-93755e7aab23,0.220000000,0.945959,1
90,3.708333,generic_sequence_executor,-0.885200139961765,-0.472476377,0.788139360,4.116275473,0.771104933,0.486781502,0.360598219,-0.195984375,generic-solve-93755e7aab23,0.220000000,0.800737,1
91,3.75,generic_sequence_executor,-0.885200139961765,-0.480676056,0.787724048,4.100708208,0.774744238,0.482206753,0.360065747,-0.193908924,generic-solve-93755e7aab23,0.220000000,0.606531,1
92,3.791667,generic_sequence_executor,-0.9199138709406576,-0.482436414,0.785938814,4.121482269,0.771395535,0.484623756,0.362111393,-0.197393219,generic-solve-93755e7aab23,0.220000000,0.411112,1
93,3.833333,generic_sequence_executor,-0.9199138709406576,-0.482961367,0.788218290,4.147613160,0.762812652,0.490501505,0.368026683,-0.205137741,generic-solve-93755e7aab23,0.205597090,0.249352,1
94,3.875,generic_sequence_executor,-0.9546276019195501,-0.484574853,0.794657332,4.160435472,0.751277100,0.496652754,0.377574076,-0.215305778,generic-solve-93755e7aab23,0.178495171,0.135335,1
95,3.916667,generic_sequence_executor,-0.9893413328984431,-0.483061256,0.798830494,4.190006375,0.737298809,0.503899257,0.388518017,-0.227001665,generic-solve-93755e7aab23,0.150004908,0.000000,1
96,3.958333,generic_sequence_executor,-1.024055063877336,-0.478911777,0.800296649,4.228983092,0.723388695,0.511217726,0.398336342,-0.238103742,generic-solve-93755e7aab23,0.124041012,0.000000,1
97,4.0,generic_sequence_executor,-0.9893413328984431,-0.477222195,0.801208621,4.245900826,0.713873723,0.515604285,0.405114856,-0.245801714,generic-solve-93755e7aab23,0.103480597,0.135335,1
98,4.041667,generic_sequence_executor,-0.9893413328984431,-0.479679582,0.800523998,4.242943922,0.711182274,0.515964185,0.407699366,-0.248559770,generic-solve-93755e7aab23,0.090457245,0.249352,1
99,4.083333,generic_sequence_executor,-0.9893413328984431,-0.485637033,0.797629722,4.228236299,0.715055228,0.513051135,0.406055336,-0.246157708,generic-solve-93755e7aab23,0.086374210,0.411112,1
100,4.125,generic_sequence_executor,-0.9893413328984431,-0.492105376,0.793206219,4.204324104,0.723402579,0.508519863,0.401008188,-0.239350560,generic-solve-93755e7aab23,0.091514090,0.606531,1
101,4.166667,generic_sequence_executor,-0.9546276019195501,-0.494327093,0.787114312,4.181168189,0.733395944,0.504646122,0.393276212,-0.229774894,generic-solve-93755e7aab23,0.104982441,0.800737,1
102,4.208333,generic_sequence_executor,-0.9546276019195501,-0.492482763,0.779494553,4.163913585,0.743430391,0.502568140,0.383091901,-0.219036786,generic-solve-93755e7aab23,0.124438039,0.945959,1
103,4.25,generic_sequence_executor,-0.9199138709406576,-0.490707061,0.771540194,4.143943503,0.754076486,0.500644714,0.370950626,-0.207651527,generic-solve-93755e7aab23,0.146322974,1.000000,1
104,4.291667,generic_sequence_executor,-0.885200139961765,-0.492168664,0.763528217,4.118509687,0.766389890,0.496134010,0.358086030,-0.195632247,generic-solve-93755e7aab23,0.166600180,1.000000,1
105,4.333333,generic_sequence_executor,-0.8504864089828721,-0.498693483,0.754912804,4.095733782,0.779920395,0.487890608,0.346366957,-0.183621520,generic-solve-93755e7aab23,0.182057667,1.000000,1
106,4.375,generic_sequence_executor,-0.8504864089828721,-0.507612419,0.747282396,4.072675308,0.792428439,0.477300940,0.338196725,-0.172811912,generic-solve-93755e7aab23,0.191083603,1.000000,1
107,4.416667,generic_sequence_executor,-0.8504864089828721,-0.509845076,0.742145522,4.054278156,0.800447738,0.469009512,0.334825398,-0.164940743,generic-solve-93755e7aab23,0.193825127,1.000000,1
108,4.458333,generic_sequence_executor,-0.885200139961765,-0.504675553,0.738803193,4.063205505,0.802011243,0.467948693,0.334208697,-0.161575160,generic-solve-93755e7aab23,0.191436855,0.945959,1
109,4.5,generic_sequence_executor,-0.885200139961765,-0.501796717,0.738153316,4.090888988,0.799321363,0.473226926,0.333123450,-0.161772688,generic-solve-93755e7aab23,0.185472530,0.800737,1
110,4.541667,generic_sequence_executor,-0.885200139961765,-0.501295203,0.741207497,4.110350293,0.796102670,0.480069213,0.330571838,-0.162715548,generic-solve-93755e7aab23,0.178197632,0.606531,1
111,4.583333,generic_sequence_executor,-0.9199138709406576,-0.497791583,0.745843791,4.126474570,0.793586513,0.486638239,0.326706711,-0.163298488,generic-solve-93755e7aab23,0.173455166,0.800737,1
112,4.625,generic_sequence_executor,-0.9199138709406576,-0.491233353,0.750364918,4.152225376,0.791102159,0.493492886,0.321874762,-0.164373914,generic-solve-93755e7aab23,0.175234565,0.945959,1
113,4.666667,generic_sequence_executor,-0.9199138709406576,-0.482755053,0.755464363,4.180740974,0.787953482,0.500181788,0.318125246,-0.166564754,generic-solve-93755e7aab23,0.186963584,1.000000,1
114,4.708333,generic_sequence_executor,-0.9199138709406576,-0.472159408,0.761152656,4.211201917,0.783013520,0.506643473,0.318149546,-0.170244194,generic-solve-93755e7aab23,0.210716833,0.945959,1
115,4.75,generic_sequence_executor,-0.9199138709406576,-0.435559107,0.773175677,4.246146881,0.774928495,0.514295991,0.322498036,-0.176012722,generic-solve-93755e7aab23,0.220000000,0.800737,1
116,4.791667,generic_sequence_executor,-0.9199138709406576,-0.385602469,0.786182805,4.280402825,0.764060607,0.523643480,0.328955629,-0.183839844,generic-solve-93755e7aab23,0.220000000,0.945959,1
117,4.833333,generic_sequence_executor,-0.9199138709406576,-0.339675299,0.798535367,4.301877640,0.752100180,0.534282140,0.334165676,-0.192928004,generic-solve-93755e7aab23,0.220000000,1.000000,1
118,4.875,generic_sequence_executor,-0.885200139961765,-0.296850875,0.810624109,4.309312671,0.739292675,0.547534647,0.335678649,-0.202415403,generic-solve-93755e7aab23,0.220000000,0.945959,1
119,4.916667,generic_sequence_executor,-0.7810589470250866,-0.249826771,0.821949312,4.314607621,0.724198349,0.566121240,0.332223488,-0.211355261,generic-solve-93755e7aab23,0.220000000,0.800737,1
120,4.958333,generic_sequence_executor,-0.6769177540884082,-0.196851328,0.833003663,4.329577481,0.705902298,0.591755311,0.322243452,-0.218372974,generic-solve-93755e7aab23,0.220000000,0.945959,1
121,5.0,generic_sequence_executor,-0.5727765611517301,-0.142001788,0.844294393,4.360895588,0.685949366,0.623151349,0.303749276,-0.221115901,generic-solve-93755e7aab23,0.220000000,1.000000,1
122,5.041667,generic_sequence_executor,-0.46863536821505214,-0.091627867,0.854655537,4.398506580,0.669091116,0.655413167,0.275963317,-0.215858534,generic-solve-93755e7aab23,0.220000000,0.945959,1
123,5.083333,generic_sequence_executor,-0.3644941752783737,-0.052576774,0.862224379,4.425454066,0.660482375,0.683215617,0.239681725,-0.198826871,generic-solve-93755e7aab23,0.220000000,0.800737,1
124,5.125,generic_sequence_executor,-0.26035298234169524,-0.023308131,0.867167997,4.437485115,0.661073288,0.704484597,0.196014713,-0.168112439,generic-solve-93755e7aab23,0.220000000,0.606531,1
125,5.166667,generic_sequence_executor,-0.15621178940501723,0.004369532,0.871061534,4.437583762,0.667318989,0.719777448,0.145199446,-0.124590982,generic-solve-93755e7aab23,0.220000000,0.606531,1
126,5.208333,generic_sequence_executor,-0.052070596468339225,0.031341390,0.874521510,4.427335935,0.674485045,0.729676028,0.086322519,-0.072050269,generic-solve-93755e7aab23,0.220000000,0.800737,1
127,5.25,generic_sequence_executor,0.052070596468339225,0.054268768,0.877276152,4.411303516,0.679026293,0.733677741,0.019715596,-0.015860671,generic-solve-93755e7aab23,0.220000000,0.945959,1
128,5.291667,generic_sequence_executor,0.15621178940501768,0.076177230,0.878656734,4.400901660,0.679345700,0.731072986,-0.049603688,0.039511817,generic-solve-93755e7aab23,0.220000000,1.000000,1
129,5.333333,generic_sequence_executor,0.2603529823416957,0.100806569,0.878390927,4.402247936,0.676009552,0.722347193,-0.113640528,0.091167145,generic-solve-93755e7aab23,0.220000000,0.945959,1
130,5.375,generic_sequence_executor,0.3644941752783737,0.126511195,0.877219885,4.406403798,0.671662126,0.708677524,-0.167557573,0.136274046,generic-solve-93755e7aab23,0.220000000,0.800737,1
131,5.416667,generic_sequence_executor,0.46863536821505214,0.153321709,0.875077321,4.403444514,0.670322403,0.690048424,-0.211986311,0.171938513,generic-solve-93755e7aab23,0.220000000,0.800737,1
132,5.458333,generic_sequence_executor,0.5727765611517306,0.184181036,0.869956394,4.395386360,0.675029959,0.665610421,-0.249976883,0.196999695,generic-solve-93755e7aab23,0.220000000,0.945959,1
133,5.5,generic_sequence_executor,0.6769177540884086,0.217333776,0.861004001,4.392776352,0.684421925,0.636919532,-0.283522383,0.213342908,generic-solve-93755e7aab23,0.220000000,1.000000,1
134,5.541667,generic_sequence_executor,0.7810589470250866,0.247669563,0.850808399,4.401913500,0.693200964,0.608972239,-0.312921073,0.225179124,generic-solve-93755e7aab23,0.220000000,0.945959,1
135,5.583333,generic_sequence_executor,0.885200139961765,0.272748184,0.842058187,4.420787829,0.696962067,0.586289434,-0.338549727,0.236416283,generic-solve-93755e7aab23,0.220000000,0.800737,1
136,5.625,generic_sequence_executor,0.9893413328984435,0.291915128,0.834744021,4.448540054,0.694691431,0.569715682,-0.361746978,0.248931681,generic-solve-93755e7aab23,0.220000000,0.606531,1
137,5.666667,generic_sequence_executor,1.024055063877336,0.305028435,0.829185192,4.472653140,0.687524761,0.557347017,-0.383978773,0.263124129,generic-solve-93755e7aab23,0.220000000,0.606531,1
138,5.708333,generic_sequence_executor,1.024055063877336,0.313640669,0.827528851,4.468507403,0.677067455,0.546736198,-0.406107082,0.278812175,generic-solve-93755e7aab23,0.220000000,0.800737,1
139,5.75,generic_sequence_executor,1.024055063877336,0.317014637,0.828380656,4.450527493,0.664199065,0.536839094,-0.428067980,0.295636929,generic-solve-93755e7aab23,0.220000000,0.945959,1
140,5.791667,generic_sequence_executor,1.024055063877336,0.312392890,0.827439979,4.459418828,0.649261537,0.528288479,-0.448770967,0.313010158,generic-solve-93755e7aab23,0.220000000,1.000000,1
141,5.833333,generic_sequence_executor,1.0587687948562285,0.302198465,0.824640778,4.492703500,0.633573823,0.521680441,-0.466665010,0.329632365,generic-solve-93755e7aab23,0.220000000,0.945959,1
142,5.875,generic_sequence_executor,1.0587687948562285,0.291743629,0.822478374,4.521354175,0.619559269,0.516927960,-0.480528147,0.343546935,generic-solve-93755e7aab23,0.220000000,0.945959,1
