frame,refined_frame,time,refined_time,evidence,audio_support,fused_event_type,interaction_mode,contact_quality,contact_target,target_entity,vlm_relevant,vlm_interaction,vlm_impact,vlm_entities,vlm_confidence,manip_gamma,manip_weight,promote_anchor,vlm_description,window_png
72,69,2.9583,2.8217,visual,0.145,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0072.png
77,77,3.16,3.1501,audio,0.42,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0077.png
83,81,3.4167,3.3351,visual,0.168,tap,impulsive,soft,part,right_hand,1,tap,medium,basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0083.png
89,89,3.656,3.6451,audio,0.384,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0089.png
96,93,3.9583,3.8267,visual,0.161,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0096.png
100,100,4.144,4.1284,audio,0.393,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0100.png
108,105,4.4583,4.3517,visual,0.186,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0108.png
114,114,4.688,4.6767,audio,0.427,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0114.png
121,118,5.0,4.8584,visual,0.187,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0121.png
126,126,5.224,5.2167,audio,0.36,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0126.png
133,130,5.5,5.3634,visual,0.187,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0133.png
138,138,5.704,5.6967,audio,0.449,bounce,repetitive,hard,support,support,1,bounce,medium,basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0138.png
144,142,5.9583,5.8917,visual,0.162,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0144.png
149,149,6.184,6.1751,audio,0.439,bounce,repetitive,hard,support,support,1,bounce,medium,basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0149.png
157,156,6.5,6.4484,visual,0.155,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,The player is about to dribble the basketball.,results/audio_semantics/vlm_windows/event_0157.png
162,162,6.688,6.6867,audio,0.363,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0162.png
169,168,7.0,6.9734,visual,0.14,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,"The player is about to dribble the basketball, indicating a physical interaction",results/audio_semantics/vlm_windows/event_0169.png
174,174,7.228,7.2167,audio,0.424,bounce,repetitive,hard,support,support,1,bounce,medium,basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0174.png
180,178,7.4583,7.3567,visual,0.192,tap,impulsive,soft,part,right_hand,1,tap,medium,left_foot|basketball,0.8,1.0,0.5,0,"The player's left foot is in contact with the ground, and the basketball is in m",results/audio_semantics/vlm_windows/event_0180.png
188,188,7.784,7.7801,audio,0.347,bounce,repetitive,hard,support,support,1,bounce,medium,left_foot|basketball,0.8,1.0,1.0,0,,results/audio_semantics/vlm_windows/event_0188.png
192,192,7.984,7.8317,audio,0.348,rattle,repetitive,soft,part,right_hand,1,rattle,medium,left_foot|basketball,0.8,1.0,0.5,0,,results/audio_semantics/vlm_windows/event_0192.png
