frame,time,mug_axial_phase_rad,mug_axial_phase_deg,visual_handle_policy,visual_handle_source,visual_handle_drawn,contact_region_drawn,contact_region_source
19,0.75,1.9722174584070364,112.99973664874116,visible:left,vlm,1,0,no_active_hand_contact
20,0.7916666666666666,2.0906750868748034,119.78685881107296,visible:left,vlm,1,0,no_active_hand_contact
21,0.8333333333333334,2.188852012569276,125.41198229893574,visible:left,vlm,1,0,no_active_hand_contact
22,0.875,2.25890462634733,129.42570141227822,visible:left,vlm,1,0,no_active_hand_contact
23,0.9166666666666666,2.2910952735634087,131.2700896375541,visible:left,vlm,1,0,no_active_hand_contact
24,0.9583333333333334,2.273145766876877,130.24165866007397,visible:left,vlm,1,0,no_active_hand_contact
25,1.0,2.18942368008201,125.44473643470013,visible:left,vlm,1,0,no_active_hand_contact
26,1.0416666666666667,2.0199078766921206,115.73219633969002,visible:left,vlm,1,1,hand_contact_region:right
27,1.0833333333333333,1.7388652016319268,99.62963719567432,hidden:far_side,vlm,0,1,hand_contact_region:right
28,1.125,1.3131512585753473,75.23802497865965,hidden:far_side,vlm,0,1,hand_contact_region:right
29,1.1666666666666667,0.7000234595164039,40.10838979043699,hidden:far_side,vlm,0,1,hand_contact_region:right
30,1.2083333333333333,0.005716111146663927,0.3275090439315285,hidden:far_side,vlm,0,1,hand_contact_region:right
31,1.25,-0.6689172090290372,-38.326132921034116,hidden:far_side,vlm,0,1,hand_contact_region:right
32,1.2916666666666667,-1.2217216938072113,-69.99949679472745,hidden:far_side,vlm,0,1,hand_contact_region:right
33,1.3333333333333333,-1.5424737206022698,-88.3772342003514,hidden:far_side,vlm,0,1,hand_contact_region:right
34,1.375,-1.7004799766610854,-97.43032580918492,hidden:far_side,vlm,0,1,hand_contact_region:right
35,1.4166666666666667,-1.75425701739118,-100.51152327772247,hidden:far_side,vlm,0,1,hand_contact_region:right
36,1.4583333333333333,-1.7553984518365047,-100.57692265403043,hidden:far_side,vlm,0,1,hand_contact_region:right
37,1.5,-1.7519865482180286,-100.38143497658633,hidden:far_side,vlm,0,1,hand_contact_region:right
38,1.5416666666666667,-1.7458305369236093,-100.02872151078125,hidden:far_side,vlm,0,1,hand_contact_region:right
39,1.5833333333333333,-1.7385297810182452,-99.61041901014868,hidden:far_side,vlm,0,1,hand_contact_region:right
40,1.625,-1.7315808960506356,-99.21227722918273,hidden:far_side,vlm,0,1,hand_contact_region:right
41,1.6666666666666667,-1.7264780907641946,-98.91990802259262,hidden:far_side,vlm,0,1,hand_contact_region:right
42,1.7083333333333333,-1.7228752424481821,-98.71348001985929,hidden:far_side,vlm,0,1,hand_contact_region:right
43,1.75,-1.720502392496502,-98.57752573221019,visible:right,vlm,1,1,hand_contact_region:right
44,1.7916666666666667,-1.719149153376997,-98.49999084199057,visible:right,vlm,1,1,hand_contact_region:right
45,1.8333333333333333,-1.7186520298454244,-98.47150776173481,visible:right,vlm,1,1,hand_contact_region:right
46,1.875,-1.718884828603759,-98.48484614806327,hidden:far_side,vlm,0,1,hand_contact_region:right
47,1.9166666666666667,-1.7197180603928588,-98.53258681293482,hidden:far_side,vlm,0,1,hand_contact_region:right
48,1.9583333333333333,-1.7210435855670627,-98.60853381105505,visible:right,vlm,1,1,hand_contact_region:right
49,2.0,-1.7227672040354498,-98.70728987478444,visible:right,vlm,1,1,hand_contact_region:right
50,2.0416666666666665,-1.7248021689414135,-98.82388477535339,visible:right,vlm,1,1,hand_contact_region:right
51,2.0833333333333335,-1.7270631915859795,-98.95343183027053,visible:right,vlm,1,1,hand_contact_region:right
52,2.125,-1.7294605363258357,-99.09078956590218,visible:right,vlm,1,1,hand_contact_region:right
53,2.1666666666666665,-1.7318938099836325,-99.2302058768943,visible:right,vlm,1,1,hand_contact_region:right
54,2.2083333333333335,-1.7342450310845057,-99.36492092267643,visible:right,vlm,1,1,hand_contact_region:right
55,2.25,-1.7363705185517517,-99.48670238395759,visible:right,vlm,1,1,hand_contact_region:right
56,2.2916666666666665,-1.7380910642900602,-99.58528239322189,visible:right,vlm,1,1,hand_contact_region:right
57,2.3333333333333335,-1.7391797440918086,-99.64765915110321,visible:right,vlm,1,1,hand_contact_region:right
58,2.375,-1.7393465691103638,-99.65721752058361,visible:right,vlm,1,1,hand_contact_region:right
59,2.4166666666666665,-1.73821897531062,-99.59261115485317,visible:right,vlm,1,1,hand_contact_region:right
60,2.4583333333333335,-1.7353168771587235,-99.42633317901678,visible:right,vlm,1,1,hand_contact_region:right
61,2.5,-1.730018267505722,-99.12274520861253,visible:right,vlm,1,1,hand_contact_region:right
62,2.5416666666666665,-1.7215232616531086,-98.63601722631884,hidden:far_side,vlm,0,1,hand_contact_region:right
63,2.5833333333333335,-1.7088040861374885,-97.90726215038767,visible:right,vlm,1,1,hand_contact_region:right
64,2.625,-1.69054012496925,-96.86081425825678,hidden:far_side,vlm,0,1,hand_contact_region:right
65,2.6666666666666665,-1.6644042377009596,-95.36333822395405,visible:right,vlm,1,1,hand_contact_region:right
66,2.7083333333333335,-1.6334280444876952,-93.5885330874522,hidden:far_side,vlm,0,1,hand_contact_region:right
67,2.75,-1.6003152971463912,-91.69131241671245,hidden:far_side,vlm,0,1,hand_contact_region:right
68,2.7916666666666665,-1.5676221943448607,-89.81813560699743,hidden:far_side,vlm,0,1,hand_contact_region:right
69,2.8333333333333335,-1.5379279354253172,-88.11677989513889,hidden:far_side,vlm,0,1,hand_contact_region:right
70,2.875,-1.510676593547751,-86.55539301948623,hidden:far_side,vlm,0,1,hand_contact_region:right
71,2.9166666666666665,-1.4854715131384162,-85.11124828974347,hidden:far_side,vlm,0,1,hand_contact_region:right
72,2.9583333333333335,-1.4620498580243497,-83.76928630249645,hidden:far_side,vlm,0,1,hand_contact_region:right
73,3.0,-1.4402657238456953,-82.52114735371288,hidden:far_side,vlm,0,1,hand_contact_region:right
74,3.0416666666666665,-1.4214306473050538,-81.44197696112825,hidden:far_side,vlm,0,1,hand_contact_region:right
75,3.0833333333333335,-1.4070511537510744,-80.61809266894966,hidden:far_side,vlm,0,1,hand_contact_region:right
76,3.125,-1.3989295254898029,-80.15275764680462,hidden:far_side,vlm,0,1,hand_contact_region:right
77,3.1666666666666665,-1.3992847854857193,-80.17311254520047,hidden:far_side,vlm,0,1,hand_contact_region:right
78,3.2083333333333335,-1.409515337302308,-80.75927998638089,hidden:far_side,vlm,0,1,hand_contact_region:right
79,3.25,-1.4316790103405428,-82.02916490997964,hidden:far_side,vlm,0,1,hand_contact_region:right
80,3.2916666666666665,-1.468629823114239,-84.14629053149052,hidden:far_side,vlm,0,1,hand_contact_region:right
81,3.3333333333333335,-1.5242082918766402,-87.33070222337581,hidden:far_side,vlm,0,1,hand_contact_region:right
82,3.375,-1.5949936473606738,-91.38640434394415,hidden:far_side,vlm,0,1,hand_contact_region:right
83,3.4166666666666665,-1.678584115520123,-96.17578537700328,hidden:far_side,vlm,0,1,hand_contact_region:right
84,3.4583333333333335,-1.7734393340792256,-101.61058906523085,hidden:far_side,vlm,0,1,hand_contact_region:right
85,3.5,-1.8787876260480316,-107.64660157395538,hidden:far_side,vlm,0,1,hand_contact_region:right
86,3.5416666666666665,-1.9883036565173438,-113.92140790887309,hidden:far_side,vlm,0,1,hand_contact_region:right
87,3.5833333333333335,-2.095955315940971,-120.08939365142669,hidden:far_side,vlm,0,1,hand_contact_region:right
88,3.625,-2.195590396725075,-125.79806327180086,hidden:far_side,vlm,0,1,hand_contact_region:right
89,3.6666666666666665,-2.280524516159879,-130.6644298520752,visible:right,vlm,1,1,hand_contact_region:right
90,3.7083333333333335,-2.3545172399710212,-134.90390064113078,visible:right,vlm,1,1,hand_contact_region:right
91,3.75,-2.4188434870449327,-138.58952311038166,visible:right,vlm,1,1,hand_contact_region:right
92,3.7916666666666665,-2.4741253791622744,-141.7569422122029,visible:right,vlm,1,1,hand_contact_region:right
93,3.8333333333333335,-2.520371979610473,-144.40667723471248,visible:right,vlm,1,1,hand_contact_region:right
94,3.875,-2.5569782780678194,-146.50406363991468,visible:right,vlm,1,1,hand_contact_region:right
95,3.9166666666666665,-2.5826830504242713,-147.97683860928393,visible:right,vlm,1,1,hand_contact_region:right
96,3.9583333333333335,-2.5954833123929397,-148.71023959675045,visible:right,vlm,1,1,hand_contact_region:right
97,4.0,-2.5925000664471165,-148.53931219480526,visible:right,vlm,1,1,hand_contact_region:right
98,4.041666666666667,-2.5697864934054184,-147.23792032185384,hidden:far_side,vlm,0,1,hand_contact_region:right
99,4.083333333333333,-2.522065808715802,-144.50372649366423,hidden:far_side,vlm,0,1,hand_contact_region:right
100,4.125,-2.4423814234598864,-139.9381475254058,hidden:far_side,vlm,0,1,hand_contact_region:right
101,4.166666666666667,-2.321636398681772,-133.01996720841728,hidden:far_side,vlm,0,1,hand_contact_region:right
102,4.208333333333333,-2.179710429313816,-124.88820816033042,hidden:far_side,vlm,0,1,hand_contact_region:right
103,4.25,-2.0350569588394958,-116.6001748102316,hidden:far_side,vlm,0,1,hand_contact_region:right
104,4.291666666666667,-1.9059249582085824,-109.20145617399957,hidden:far_side,vlm,0,1,hand_contact_region:right
105,4.333333333333333,-1.8115673101299745,-103.79516117431464,hidden:far_side,vlm,0,1,hand_contact_region:right
106,4.375,-1.7425907348707135,-99.8430945266925,hidden:far_side,vlm,0,1,hand_contact_region:right
107,4.416666666666667,-1.6912599143179503,-96.90205515007578,hidden:far_side,vlm,0,1,hand_contact_region:right
108,4.458333333333333,-1.650986156638395,-94.59453880990468,hidden:far_side,vlm,0,1,hand_contact_region:right
109,4.5,-1.6158914996089329,-92.58376307865737,hidden:far_side,vlm,0,1,hand_contact_region:right
110,4.541666666666667,-1.580419569692601,-90.5513712032677,hidden:far_side,vlm,0,1,hand_contact_region:right
111,4.583333333333333,-1.538967590739442,-88.17634775678658,hidden:far_side,vlm,0,1,hand_contact_region:right
112,4.625,-1.4855153283390705,-85.11375871581947,hidden:far_side,vlm,0,1,hand_contact_region:right
113,4.666666666666667,-1.4132265543694318,-80.97191706118402,hidden:far_side,vlm,0,1,hand_contact_region:right
114,4.708333333333333,-1.3264763658542267,-76.0014973872985,hidden:far_side,vlm,0,1,hand_contact_region:right
115,4.75,-1.2286611044087377,-70.39709573450325,visible:left,vlm,1,1,hand_contact_region:right
116,4.791666666666667,-1.1224234212400677,-64.31012486369043,visible:left,vlm,1,1,hand_contact_region:right
117,4.833333333333333,-1.0098277388617478,-57.858867472017174,visible:left,vlm,1,1,hand_contact_region:right
118,4.875,-0.8924976562810683,-51.136348930222816,visible:left,vlm,1,1,hand_contact_region:right
119,4.916666666666667,-0.7717243395517452,-44.21654760383587,visible:right,vlm,1,1,hand_contact_region:right
120,4.958333333333333,-0.6485530307740914,-37.15935145377364,visible:left,vlm,1,1,hand_contact_region:right
121,5.0,-0.5238533688621887,-30.014587119513347,visible:left,vlm,1,1,hand_contact_region:right
122,5.041666666666667,-0.3983781502937136,-22.825386662058186,visible:left,vlm,1,1,hand_contact_region:right
123,5.083333333333333,-0.27281439742026325,-15.631113562585819,visible:left,vlm,1,1,hand_contact_region:right
124,5.125,-0.14783009568066685,-8.470040567517351,visible:left,vlm,1,1,hand_contact_region:right
125,5.166666666666667,-0.02411967598398057,-1.3819556371051378,visible:left,vlm,1,1,hand_contact_region:right
126,5.208333333333333,0.09754876428257608,5.58913249010812,visible:left,vlm,1,0,no_active_hand_contact
127,5.25,0.2162813939773538,12.392011062108555,visible:left,vlm,1,0,no_active_hand_contact
128,5.291666666666667,0.3309983083510044,18.964806094482384,visible:left,vlm,1,0,no_active_hand_contact
129,5.333333333333333,0.44036094634325185,25.23082368785523,visible:left,vlm,1,0,no_active_hand_contact
130,5.375,0.5426824894097533,31.093416258831855,visible:left,vlm,1,0,no_active_hand_contact
131,5.416666666666667,0.6358153468008689,36.42953592133656,visible:left,vlm,1,1,hand_contact_region:left
132,5.458333333333333,0.7170083245456285,41.0815508722109,visible:left,vlm,1,1,hand_contact_region:left
133,5.5,0.7827240806786211,44.84678634614233,visible:left,vlm,1,1,hand_contact_region:left
134,5.541666666666667,0.8340665962089746,47.78849579561648,visible:left,vlm,1,1,hand_contact_region:left
135,5.583333333333333,0.8711911685926452,49.91557710942873,visible:left,vlm,1,1,hand_contact_region:left
136,5.625,0.8981066785954734,51.457722236032936,visible:left,vlm,1,1,hand_contact_region:left
137,5.666666666666667,0.9171273079826543,52.54752402360091,visible:left,vlm,1,1,hand_contact_region:left
138,5.708333333333333,0.9300444254248674,53.28762033651454,visible:right,vlm,1,1,hand_contact_region:left
139,5.75,0.938244600579762,53.75745576415803,visible:left,vlm,1,1,hand_contact_region:left
140,5.791666666666667,0.9428009762655094,54.01851686082739,visible:left,vlm,1,1,hand_contact_region:left
141,5.833333333333333,0.9445440122041173,54.11838546364925,visible:left,vlm,1,1,hand_contact_region:left
142,5.875,0.9441162562353878,54.09387685197951,visible:left,vlm,1,1,hand_contact_region:left
143,5.916666666666667,0.9420147477287362,53.97346928393753,visible:left,vlm,1,1,hand_contact_region:left
144,5.958333333333333,0.9386238439589611,53.779184809194426,visible:left,vlm,1,1,hand_contact_region:left
145,6.0,0.9342406299130097,53.52804514365894,visible:left,vlm,1,1,hand_contact_region:left
146,6.041666666666667,0.9290945838911115,53.23319842542409,visible:left,vlm,1,1,hand_contact_region:left
147,6.083333333333333,0.9233627932318189,52.90479101159412,visible:left,vlm,1,1,hand_contact_region:left
148,6.125,0.9171817216357416,52.5506416962707,visible:left,vlm,1,1,hand_contact_region:left
149,6.166666666666667,0.9106563026068697,52.17676272636198,visible:left,vlm,1,1,hand_contact_region:left
150,6.208333333333333,0.9038669575362501,51.78776190815753,visible:left,vlm,1,1,hand_contact_region:left
151,6.25,0.8968750003435391,51.38715227047905,visible:left,vlm,1,1,hand_contact_region:left
152,6.291666666666667,0.8897267843836794,50.97758966493103,visible:left,vlm,1,1,hand_contact_region:left
153,6.333333333333333,0.8824568645337179,50.56105394012985,visible:left,vlm,1,1,hand_contact_region:left
154,6.375,0.8750903825517273,50.13898561270263,visible:left,vlm,1,1,hand_contact_region:left
155,6.416666666666667,0.8676448326794279,49.712387028865706,visible:left,vlm,1,1,hand_contact_region:left
156,6.458333333333333,0.8601313236764891,49.281894673663764,visible:left,vlm,1,0,no_active_hand_contact
157,6.5,0.8525554203406136,48.847827386519015,visible:left,vlm,1,0,no_active_hand_contact
158,6.541666666666667,0.8449176199014317,48.41021365659073,visible:left,vlm,1,0,no_active_hand_contact
159,6.583333333333333,0.8372134946548466,47.96879979512122,visible:left,vlm,1,0,no_active_hand_contact
160,6.625,0.8294335102466972,47.52303952385667,visible:left,vlm,1,0,no_active_hand_contact
161,6.666666666666667,0.8215625076745297,47.07206429593486,visible:left,vlm,1,0,no_active_hand_contact
162,6.708333333333333,0.8135788149498069,46.61463239787894,visible:left,vlm,1,0,no_active_hand_contact
163,6.75,0.8054529299947051,46.14905348514275,visible:left,vlm,1,0,no_active_hand_contact
164,6.791666666666667,0.7971456881339498,45.673083587127074,visible:left,vlm,1,0,no_active_hand_contact
165,6.833333333333333,0.7886057936277666,45.183783674435816,visible:left,vlm,1,0,no_active_hand_contact
166,6.875,0.7797665528447046,44.67733248346645,visible:left,vlm,1,0,no_active_hand_contact
167,6.916666666666667,0.7711330567147017,44.18266959277475,visible:left,vlm,1,0,no_active_hand_contact
168,6.958333333333333,0.7632239967662038,43.72951383780987,visible:left,vlm,1,0,no_active_hand_contact
169,7.0,0.7566058387370607,43.35032131458935,visible:left,vlm,1,0,no_active_hand_contact
170,7.041666666666667,0.7511344119807424,43.036831653537355,visible:left,vlm,1,0,no_active_hand_contact
171,7.083333333333333,0.7467412428387381,42.7851216030134,visible:left,vlm,1,0,no_active_hand_contact
172,7.125,0.7433867526701654,42.59292347393606,visible:left,vlm,1,0,no_active_hand_contact
173,7.166666666666667,0.7407136425789553,42.43976554753589,visible:left,vlm,1,0,no_active_hand_contact
174,7.208333333333333,0.7382839477978655,42.300554291074484,visible:left,vlm,1,0,no_active_hand_contact
175,7.25,0.7357580188292263,42.15582922182162,visible:left,vlm,1,0,no_active_hand_contact
176,7.291666666666667,0.7330736899754475,42.00202850767491,visible:left,vlm,1,0,no_active_hand_contact
177,7.333333333333333,0.7301583560942468,41.834992180410616,visible:left,vlm,1,0,no_active_hand_contact
178,7.375,0.7269209191336516,41.64950070612885,visible:left,vlm,1,0,no_active_hand_contact
179,7.416666666666667,0.723505869474006,41.45383277380356,visible:left,vlm,1,0,no_active_hand_contact
180,7.458333333333333,0.7197910270165906,41.240987979437655,visible:left,vlm,1,0,no_active_hand_contact
181,7.5,0.7157067995017705,41.00697898026726,visible:left,vlm,1,0,no_active_hand_contact
182,7.541666666666667,0.7107791646619761,40.72464630096542,visible:left,vlm,1,0,no_active_hand_contact
183,7.583333333333333,0.7051029385684839,40.39942250224629,visible:left,vlm,1,0,no_active_hand_contact
184,7.625,0.6990779805687368,40.05421783711719,visible:left,vlm,1,0,no_active_hand_contact
185,7.666666666666667,0.6932186181580344,39.718501100346344,visible:left,vlm,1,0,no_active_hand_contact
186,7.708333333333333,0.6872483109824428,39.37642769678828,visible:left,vlm,1,0,no_active_hand_contact
187,7.75,0.6813343835519277,39.03758461467311,visible:left,vlm,1,0,no_active_hand_contact
188,7.791666666666667,0.675080618034881,38.679270244481884,visible:left,vlm,1,0,no_active_hand_contact
189,7.833333333333333,0.6688120683691388,38.320108804966715,visible:left,vlm,1,0,no_active_hand_contact
190,7.875,0.6628529279109241,37.97867520718536,visible:left,vlm,1,0,no_active_hand_contact
191,7.916666666666667,0.6575479145242857,37.674720329870574,visible:left,vlm,1,0,no_active_hand_contact
192,7.958333333333333,0.6533132426413211,37.43209150335399,visible:left,vlm,1,0,no_active_hand_contact
193,8.0,0.6496884366834061,37.224405420411586,visible:left,vlm,1,0,no_active_hand_contact
194,8.041666666666666,0.6463511774864767,37.03319455328631,visible:left,vlm,1,0,no_active_hand_contact
195,8.083333333333334,0.6429981989126383,36.84108303220758,visible:left,vlm,1,0,no_active_hand_contact
196,8.125,0.6393252441026185,36.63063822325116,visible:left,vlm,1,0,no_active_hand_contact
197,8.166666666666666,0.6350069565478353,36.383218571638224,visible:left,vlm,1,0,no_active_hand_contact
198,8.208333333333334,0.629675382688835,36.077741891355224,visible:left,vlm,1,0,no_active_hand_contact
199,8.25,0.6228956713785232,35.689293046957246,visible:left,vlm,1,0,no_active_hand_contact
200,8.291666666666666,0.6149992206219324,35.236859745471705,visible:left,vlm,1,0,no_active_hand_contact
201,8.333333333333334,0.6062436618102294,34.735203178282546,visible:left,vlm,1,0,no_active_hand_contact
202,8.375,0.596829839196388,34.195830873424626,visible:left,vlm,1,0,no_active_hand_contact
203,8.416666666666666,0.5869150524197377,33.62775543635045,visible:left,vlm,1,0,no_active_hand_contact
204,8.458333333333334,0.5766234335104645,33.03808910849206,visible:left,vlm,1,0,no_active_hand_contact
205,8.5,0.5660541412397189,32.432513268938095,visible:left,vlm,1,0,no_active_hand_contact
206,8.541666666666666,0.555287912051524,31.815653775183964,visible:left,vlm,1,0,no_active_hand_contact
207,8.583333333333334,0.544392398668291,31.191386842696414,visible:left,vlm,1,0,no_active_hand_contact
208,8.625,0.5334266476841005,30.56309559211087,visible:left,vlm,1,0,no_active_hand_contact
209,8.666666666666666,0.5224450108015013,29.93389414659273,visible:left,vlm,1,0,no_active_hand_contact
210,8.708333333333334,0.5115007470984461,29.306834026529447,visible:left,vlm,1,0,no_active_hand_contact
211,8.75,0.500649553380113,28.685106423790092,visible:left,vlm,1,0,no_active_hand_contact
212,8.791666666666666,0.4899532549383183,28.0722536666629,visible:left,vlm,1,0,no_active_hand_contact
213,8.833333333333334,0.4794838995963069,27.472403791342902,visible:left,vlm,1,0,no_active_hand_contact
214,8.875,0.46932852445560647,26.890543656408692,visible:left,vlm,1,0,no_active_hand_contact
215,8.916666666666666,0.45959490902780775,26.3328485729924,visible:left,vlm,1,0,no_active_hand_contact
216,8.958333333333334,0.45041869334388185,25.807090142401695,visible:left,vlm,1,0,no_active_hand_contact
217,9.0,0.44197232945535525,25.323149139357415,visible:left,vlm,1,0,no_active_hand_contact
218,9.041666666666666,0.4344764553879026,24.893667191530813,visible:left,vlm,1,0,no_active_hand_contact
219,9.083333333333334,0.4274748215253332,24.49250312150971,visible:left,vlm,1,0,no_active_hand_contact
220,9.125,0.42079635792626524,24.109855343651365,visible:left,vlm,1,0,no_active_hand_contact
221,9.166666666666666,0.41431000605239143,23.73821475684162,visible:left,vlm,1,0,no_active_hand_contact
222,9.208333333333334,0.40762519006275433,23.35520301381385,visible:left,vlm,1,0,no_active_hand_contact
223,9.25,0.4003382154815376,22.937690124891017,visible:left,vlm,1,0,no_active_hand_contact
224,9.291666666666666,0.39200562444518994,22.460267826099756,visible:left,vlm,1,0,no_active_hand_contact
225,9.333333333333334,0.38211493428083454,21.89357302321064,visible:left,vlm,1,0,no_active_hand_contact
226,9.375,0.3711855529573711,21.267365600687075,visible:left,vlm,1,0,no_active_hand_contact
227,9.416666666666666,0.35966833764304207,20.607477771432585,visible:left,vlm,1,0,no_active_hand_contact
228,9.458333333333334,0.3479753613336922,19.93751957896038,visible:left,vlm,1,0,no_active_hand_contact
229,9.5,0.3365071272610791,19.28043816813152,visible:left,vlm,1,0,no_active_hand_contact
230,9.541666666666666,0.32567902195302745,18.66003343385696,visible:left,vlm,1,0,no_active_hand_contact
231,9.583333333333334,0.3159487477170604,18.102529786631163,visible:left,vlm,1,0,no_active_hand_contact
232,9.625,0.3074922695506648,17.618009278152165,visible:left,vlm,1,0,no_active_hand_contact
233,9.666666666666666,0.30029390274265966,17.205573240666414,visible:left,vlm,1,0,no_active_hand_contact
234,9.708333333333334,0.29409183178220566,16.850220750391752,visible:left,vlm,1,0,no_active_hand_contact
235,9.75,0.289466943867124,16.585234192136515,visible:left,vlm,1,0,no_active_hand_contact
236,9.791666666666666,0.28751524722416155,16.473410211604914,visible:left,vlm,1,0,no_active_hand_contact
237,9.833333333333334,0.28926274880860836,16.57353467708614,visible:left,vlm,1,0,no_active_hand_contact
238,9.875,0.2943373408736969,16.86428738516629,visible:left,vlm,1,0,no_active_hand_contact
239,9.916666666666666,0.30236592533494067,17.324291390259873,visible:left,vlm,1,0,no_active_hand_contact
240,9.958333333333334,0.3106024895678656,17.79621175849488,visible:left,vlm,1,0,no_active_hand_contact
